Stress,Ref
3.428868685363905544e-01,6.179799384379547345e-02
1.938039349975021475e-01,5.269071662744620466e-02
1.295143474344269963e-01,4.516881930779109711e-02
1.022419969252218730e-01,3.931560029660145783e-02
8.478677435175047128e-02,3.552713016929581746e-02
6.502861810981461210e-02,3.188135257895502450e-02
5.646959341852008513e-02,2.877317074555019866e-02
4.202283201909227245e-02,2.643367087946294977e-02
4.409296775799290830e-02,2.448938324450061071e-02
4.229786529791026983e-02,2.269613539090550858e-02
3.170565048084390131e-02,2.115521545637680939e-02
3.287432269983141947e-02,1.992263044814449394e-02
2.547257024578403889e-02,1.873051927045119372e-02
2.600147118024625711e-02,1.764369498333815192e-02
2.189304475923883886e-02,1.672489385157969674e-02
1.798120770498168319e-02,1.585514033931439970e-02
1.873391587345112075e-02,1.512106720625790678e-02
1.731247593377183841e-02,1.445959646438986154e-02
1.474069664237798172e-02,1.380459877828857200e-02
1.391854477698176856e-02,1.321023557765350215e-02
1.255893900724416520e-02,1.269377814067591120e-02
1.224669395103228885e-02,1.219603597753218110e-02
1.098609391881325004e-02,1.174573203937629914e-02
9.680481708740501512e-03,1.132782993726097476e-02
1.001389714607191748e-02,1.094151480594056543e-02
9.133935606259961648e-03,1.057424043578349994e-02
8.776889447813043116e-03,1.022684818398193751e-02
7.906879791422738446e-03,9.903600682488957960e-03
7.410154366894816137e-03,9.591679525200026354e-03
7.223476092825846344e-03,9.309782842767386213e-03
6.833116359521214205e-03,9.053934163656726652e-03
6.209461792767607957e-03,8.803838674376361639e-03
1.015323049719408921e+01,9.817472923219965342e-01
nan,nan
8.764548952204625820e+00,9.817472923219965342e-01
4.273342250914490847e+01,5.457359948495800195e-01
5.400852018095769580e+01,2.517845030786725613e-01
1.354519193584889081e+01,1.459253421410902363e-01
4.659518275208559324e+00,1.050082235717419571e-01
1.883408549272825860e+00,7.839318104902510964e-02
1.124989894589464523e+00,6.452023411888134496e-02
7.660169151230445950e-01,5.388774211179781642e-02
5.343687550756468507e-01,4.586928387834785653e-02
4.110666724576736986e-01,4.039706957153958028e-02
3.229703154916285790e-01,3.574868015933427984e-02
2.572667306908852924e-01,3.223059440281402649e-02
2.174703770124979396e-01,2.935261546728046983e-02
1.754836551314379600e-01,2.677768936268519126e-02
1.523409098470767387e-01,2.474834408103696384e-02
1.327866799905206840e-01,2.295982313523399140e-02
1.137680767304459079e-01,2.144889923544274560e-02
9.837628195131344067e-02,2.010423191446497268e-02
8.770036250195557825e-02,1.884481602822321578e-02
7.614306393345825208e-02,1.780887643068865614e-02
7.042793631545590793e-02,1.687206365072775952e-02
6.019447550872333852e-02,1.601683018550535686e-02
5.693078524429414505e-02,1.525408052134314893e-02
4.979170518601495898e-02,1.453027406120858955e-02
4.653740575518563322e-02,1.389315101768498137e-02
4.162301723416415161e-02,1.330913284634366138e-02
3.891588834547792669e-02,1.277163596571121752e-02
3.478223646241972167e-02,1.227448959998139050e-02
3.323029319295114914e-02,1.181350403299448980e-02
2.948960981146124538e-02,1.138654141679085706e-02
2.859830457532334599e-02,1.098645601181419060e-02
2.570658283793528578e-02,1.061162141999020224e-02
2.460004196573389174e-02,1.027872664074297622e-02
2.243561021752848647e-02,9.943496234544876161e-03
2.146769468530165120e-02,9.647370502599606629e-03
1.973590474963391947e-02,9.359487858443267527e-03
1.890335058672505328e-02,9.089211159374773613e-03
1.737438504986029211e-02,8.831477332009365216e-03
6.931021346609189671e+00,9.817472923219964231e-01
2.268093953928046247e+00,2.945241876965989380e+00
5.007451151852956528e+00,3.006601082736112929e+00
4.054865435665271178e+01,5.711419143628966300e-01
5.090556060148014694e+01,2.557567147992084178e-01
1.219996907099955585e+01,1.476271484661534072e-01
4.628171629579879820e+00,1.057537150158011363e-01
2.121899510260146560e+00,7.917670860490653995e-02
1.311699467307523292e+00,6.481688050100539722e-02
8.899674195151597855e-01,5.407112040858381291e-02
6.323750923347758457e-01,4.610358571420561380e-02
4.826086102311264447e-01,4.050629362534610700e-02
3.773269019032382543e-01,3.587359742067279533e-02
3.010386945732129726e-01,3.230289661768840498e-02
2.503940196792885930e-01,2.940848836051671022e-02
2.038969563357542480e-01,2.682902130305233820e-02
1.745067593069856982e-01,2.478955522221664570e-02
1.501859827216574239e-01,2.299320371912180402e-02
1.289065482678141139e-01,2.147313255867468185e-02
1.115434997358721730e-01,2.012046472442549985e-02
9.834682953254371418e-02,1.886829901212880994e-02
8.585347260327931551e-02,1.782398699775239459e-02
7.800458951327707280e-02,1.688663125221828015e-02
6.773055381032377920e-02,1.602667758769429213e-02
6.268814799237643065e-02,1.526431364557126295e-02
5.538960812406436285e-02,1.453926523947555657e-02
5.108569697845088270e-02,1.390262222528357294e-02
4.593909535377474485e-02,1.331616767989039947e-02
4.251403099548097669e-02,1.277898324721169626e-02
3.830883017961721898e-02,1.227981556981513379e-02
3.605169764809623006e-02,1.181977867497545354e-02
3.239194835000551442e-02,1.139080782949867046e-02
3.087472652294931397e-02,1.099190826491552170e-02
2.801285293526028369e-02,1.061587972043891159e-02
