MAS,Ref
-1.355452089131943191e-02,9.104563269490682786e-03
-1.274448976967593357e-02,8.843976812214965344e-03
-1.166493844187436665e-02,8.609678280405357736e-03
-1.110088596890382653e-02,8.379679044587536041e-03
-1.025001109360028188e-02,8.154015125741239170e-03
-9.739699393595851323e-03,7.945536941686072441e-03
6.628757717758115842e-01,inf
2.830524705858165069e-01,1.732495221744700109e-01
-6.723831761792070649e-01,1.380279261064118190e-01
-7.866127461318453973e-01,9.095599914159670230e-02
-6.279712194182419438e+00,7.035403636665991944e-02
-3.031881075513406909e+00,5.566569520488647699e-02
-4.840925072385104388e-01,4.752479357547244321e-02
-1.570189438762186473e-01,4.156221731362953753e-02
6.873070440188910890e-02,3.691025292072642322e-02
7.188961375955602029e-02,3.337222777591101336e-02
7.166582758801262609e-02,3.005237468816656862e-02
7.217849379281943145e-02,2.722668206354620854e-02
6.709627105656290613e-02,2.534562844951175967e-02
5.446685241061851451e-02,2.338460921564671641e-02
5.010225111552323723e-02,2.161608165944424800e-02
3.780101972005717181e-02,2.025724055592621753e-02
4.125394995630886352e-02,1.907305704641961211e-02
4.041047277937201421e-02,1.794526866755840819e-02
3.034296756764971043e-02,1.696254357663867438e-02
3.190284063470432557e-02,1.615169730480965626e-02
2.474949842840507702e-02,1.535631431821634155e-02
2.547514661481582732e-02,1.460408847381654794e-02
2.149115273932240139e-02,1.396737305288370083e-02
1.767140215211888618e-02,1.335247935029261999e-02
1.849612880481933327e-02,1.282195555741242471e-02
1.712542874688659927e-02,1.234171397111435801e-02
1.459099700272053525e-02,1.185918971889583437e-02
1.380020672187429534e-02,1.141422074024966461e-02
1.246229158928710730e-02,1.102595691732008790e-02
1.216851575533029958e-02,1.064520043677982114e-02
1.092161973180970878e-02,1.029999771699458867e-02
9.626529031361130695e-03,9.977180364658472245e-03
9.969796711201768871e-03,9.673605662022169774e-03
9.096719557514265295e-03,9.384726849092781681e-03
8.745752199096425844e-03,9.108575933989991949e-03
7.880331905677323903e-03,8.851016945281177731e-03
7.387634033031329969e-03,8.599892741236882243e-03
7.204305431636399623e-03,8.371524527341776128e-03
