MAS,Ref
-1.208593333333332978e-02,4.287629218577119344e-03
-3.113936805555555729e-03,4.422170351365402492e-03
-4.359861111111109494e-03,4.827809029248268484e-03
-5.993291666666664998e-03,5.287276627517199269e-03
-8.130486111111110900e-03,5.809452117488901959e-03
-1.091862500000000125e-02,6.404785458318269266e-03
-1.453913888888888617e-02,7.085503325932687897e-03
-1.920543055555555198e-02,7.865765416299620033e-03
-2.514790277777777944e-02,8.761694058258452308e-03
-3.257173611111111727e-02,9.791140791062793655e-03
-4.156090277777777647e-02,1.097296081854091596e-02
-5.188986111111110189e-02,1.232543112132720303e-02
-6.268298611111110252e-02,1.386327546739170476e-02
-7.187576388888888834e-02,1.559259778864196394e-02
-7.551201388888889587e-02,1.750302357394714625e-02
-6.720291666666668162e-02,1.955683731683026394e-02
-3.865877083333333492e-02,2.167641584832116081e-02
1.708265138888888368e-02,2.373424186494170474e-02
9.843874999999999154e-02,2.555362690659996813e-02
1.864119444444444773e-01,2.692982186798325434e-02
2.431969444444443407e-01,2.767502746718587120e-02
2.288093750000000093e-01,2.767502746718587120e-02
1.306195833333333445e-01,2.692982186798325434e-02
-2.096775347222222530e-02,2.555362690659996119e-02
-1.705432638888889074e-01,2.373424186494170474e-02
-2.731909722222222170e-01,2.167641584832116081e-02
-3.147464583333333121e-01,1.955683731683026394e-02
-3.066284722222222814e-01,1.750302357394714625e-02
-2.696557638888888442e-01,1.559259778864196047e-02
-2.220193055555555461e-01,1.386327546739170476e-02
-1.751324305555555516e-01,1.232543112132720477e-02
-1.343929166666666675e-01,1.097296081854091943e-02
-1.013574305555555444e-01,9.791140791062793655e-03
-7.564027777777776462e-02,8.761694058258452308e-03
-5.610118055555554650e-02,7.865765416299620033e-03
-4.146458333333334634e-02,7.085503325932687897e-03
-3.058361111111111350e-02,6.404785458318271001e-03
-2.252293750000000649e-02,5.809452117488901959e-03
-1.655574999999999755e-02,5.287276627517199269e-03
-1.213477777777778079e-02,4.827809029248267617e-03
-9.123841666666666905e-03,4.459676659462136032e-03
-1.519020138888889371e-03,4.584352388396870093e-03
-2.528247222222222788e-03,5.021761528701535263e-03
-3.907411111111112022e-03,5.520795973730202588e-03
-5.787312499999999055e-03,6.092609289931725028e-03
-8.343958333333335170e-03,6.750677818706856716e-03
-1.181215972222222216e-02,7.511271438565256947e-03
-1.649884722222222724e-02,8.393963803297842252e-03
-2.279211111111111021e-02,9.422122754918153820e-03
-3.115212500000000273e-02,1.062324938479967430e-02
-4.205666666666665887e-02,1.202890165132494867e-02
-5.584312499999999346e-02,1.367370748222369002e-02
-7.234486111111110285e-02,1.559259778864196394e-02
-9.015041666666667730e-02,1.781485242653911560e-02
-1.053136805555555527e-01,2.035296291287845907e-02
-1.095715972222222334e-01,2.318416370906262181e-02
-8.906638888888890326e-02,2.622403900679859054e-02
-2.670110833333332739e-02,2.929707588290688530e-02
8.665439583333331419e-02,3.211991973144338874e-02
2.308618055555555215e-01,3.432465437481371784e-02
3.416243055555554520e-01,3.554450222226765432e-02
3.356606250000001013e-01,3.554450222226766126e-02
1.793021527777777790e-01,3.432465437481371784e-02
-6.742841736111110373e-02,3.211991973144339568e-02
-2.939330555555556002e-01,2.929707588290688530e-02
-4.233791666666665843e-01,2.622403900679860095e-02
-4.479624999999999857e-01,2.318416370906262181e-02
-4.029965277777778354e-01,2.035296291287846254e-02
-3.289472222222221687e-01,1.781485242653911560e-02
-2.528709722222222123e-01,1.559259778864196394e-02
-1.873788194444444832e-01,1.367370748222369176e-02
-1.358350694444444839e-01,1.202890165132494867e-02
-9.723118055555556027e-02,1.062324938479967430e-02
-6.910902777777779005e-02,9.422122754918153820e-03
-4.892541666666666567e-02,8.393963803297840517e-03
-3.454107638888889026e-02,7.511271438565258682e-03
-2.431406250000000061e-02,6.750677818706854981e-03
-1.703999305555555649e-02,6.092609289931721558e-03
-1.185652777777777833e-02,5.520795973730204323e-03
-8.153722222222225396e-03,5.021761528701536130e-03
-5.715458333333333675e-03,4.624624187283168930e-03
2.940452777777778247e-04,4.736343558303693704e-03
-3.834945138888885938e-04,5.204719117802710307e-03
-1.374976458333333285e-03,5.742726340660317744e-03
-2.810556249999999947e-03,6.364023035316474473e-03
-4.875075694444445072e-03,7.085500225181048939e-03
-7.830916666666664847e-03,7.928121859570910757e-03
-1.204865277777777445e-02,8.917961065506262164e-03
-1.804555555555555080e-02,1.008743548011304010e-02
-2.652724305555554871e-02,1.147668384193126397e-02
-3.841284722222221976e-02,1.313488595558934963e-02
-5.479256944444445276e-02,1.512102891167485877e-02
-7.668805555555556486e-02,1.750302357394714278e-02
-1.043357638888888772e-01,2.035296291287845907e-02
-1.354828472222222580e-01,2.373447405543024219e-02
-1.620024305555555211e-01,2.767572723796628970e-02
-1.648319444444444337e-01,3.212050828812858250e-02
-1.109105902777777625e-01,3.685562537468861644e-02
3.549879166666666114e-02,4.143669379037169531e-02
2.698804861111110953e-01,4.518020627501372066e-02
4.894166666666667220e-01,4.731740515820784948e-02
5.143284722222222216e-01,4.731740515820784948e-02
2.518808333333332761e-01,4.518020627501370678e-02
-1.704856250000000017e-01,4.143669379037169531e-02
-5.175090277777778525e-01,3.685562537468861644e-02
-6.610423611111109210e-01,3.212050828812857556e-02
-6.296548611111111304e-01,2.767572723796628970e-02
-5.134124999999999384e-01,2.373447405543024219e-02
-3.828763888888890299e-01,2.035296291287845907e-02
-2.712279166666667352e-01,1.750302357394713931e-02
-1.866763888888889056e-01,1.512102891167485703e-02
-1.264881249999999790e-01,1.313488595558935136e-02
-8.498423611111109721e-02,1.147668384193126744e-02
-5.679861111111112609e-02,1.008743548011304010e-02
-3.777192361111112590e-02,8.917961065506262164e-03
-2.493930555555555831e-02,7.928121859570912491e-03
-1.626954166666666479e-02,7.085500225181048939e-03
-1.039702777777777760e-02,6.364023035316476208e-03
-6.410195833333333371e-03,5.742726340660319478e-03
-3.700576388888887798e-03,5.204719117802711174e-03
-2.003223000000000156e-03,4.779293892466810086e-03
2.243656249999999991e-03,4.874877797272986896e-03
1.978091666666666280e-03,5.372492529993202516e-03
1.493546805555555747e-03,5.947660379991573376e-03
6.791370833333334111e-04,6.616674061173368794e-03
