Stress,Ref
2.420447916666666408e-02,8.324077354974604437e-03
1.133977777777777848e-02,8.255359796999279381e-03
-3.355149999999999886e-03,8.121273000743138223e-03
-1.811977777777777632e-02,7.928115451992309368e-03
-3.136035416666666659e-02,7.684425150048357356e-03
-4.193847222222222421e-02,7.400099249344370932e-03
-4.928986111111111068e-02,7.085500225181047204e-03
-5.338479166666668801e-02,6.750677818706856716e-03
-5.458534722222222607e-02,6.404785458318271001e-03
-5.347159722222222938e-02,6.055715914333387358e-03
-5.068722222222221685e-02,5.709938542749516677e-03
-4.683534722222222613e-02,5.372495834734905031e-03
-4.241777777777778341e-02,5.047108985270822197e-03
-3.781840277777778758e-02,4.736345836246619138e-03
-3.330534722222221189e-02,4.441814194694333230e-03
-2.905125000000000415e-02,4.164354743044975694e-03
-2.515349305555554874e-02,3.904217869254828898e-03
-2.165543749999999934e-02,3.661216590207742178e-03
-1.884813333333332924e-02,3.456465940102834266e-03
-6.889159722222220998e-03,3.621439880994872275e-03
-7.932604166666665929e-03,3.873968165684024429e-03
-9.068513888888889846e-03,4.147084763491207422e-03
-1.027227083333333117e-02,4.441814194694330628e-03
-1.149847916666666379e-02,4.758885645189581473e-03
-1.267249999999999453e-02,5.098575323506279212e-03
-1.367999999999999598e-02,5.460505864392090937e-03
-1.435617361111111469e-02,5.843401040523341430e-03
-1.447606249999999935e-02,6.244800599654338341e-03
-1.375177083333333113e-02,6.660750947255220447e-03
-1.184238888888888667e-02,7.085503325932687897e-03
-8.388402777777774141e-03,7.511271438565258682e-03
-3.080391319444444453e-03,7.928121859570912491e-03
4.229760694444443733e-03,8.324086024976922946e-03
1.338207638888888780e-02,8.685581139210142923e-03
2.375644444444444114e-02,8.998196650284029721e-03
3.417826388888888650e-02,9.247835525132423046e-03
4.296729166666667099e-02,9.422101498498628228e-03
4.819312499999998944e-02,9.511720716977598369e-03
4.813611111111110868e-02,9.528345822765758866e-03
4.182659722222221987e-02,9.528345822765758866e-03
2.945691666666667291e-02,9.511720716977600104e-03
1.244823680555555423e-02,9.422101498498628228e-03
-6.878440347222222750e-03,9.247835525132424780e-03
-2.591410416666666341e-02,8.998196650284027986e-03
-4.240076388888888714e-02,8.685581139210144658e-03
-5.486458333333334159e-02,8.324086024976922946e-03
-6.274409722222221153e-02,7.928121859570914226e-03
-6.625312500000000993e-02,7.511271438565256947e-03
-6.610944444444444290e-02,7.085503325932686162e-03
-6.324951388888890025e-02,6.660750947255222182e-03
-5.860722222222221334e-02,6.244800599654338341e-03
-5.298541666666666677e-02,5.843401040523343165e-03
-4.700131944444446014e-02,5.460505864392092672e-03
-4.108749999999999902e-02,5.098575323506280080e-03
-3.551659722222223065e-02,4.758885645189580606e-03
-3.044020833333333995e-02,4.441814194694331495e-03
-2.592238194444444754e-02,4.147084763491208290e-03
-2.197052083333333322e-02,3.873968165684024429e-03
-1.886610833333332918e-02,3.645441573093243567e-03
-6.881513888888887535e-03,3.814853548619013494e-03
-8.077118055555556134e-03,4.096123712924323000e-03
-9.423472222222221972e-03,4.402702105045729584e-03
-1.091042361111111379e-02,4.736345836246620006e-03
-1.250761111111111171e-02,5.098575323506280947e-03
-1.415364583333333579e-02,5.490486842629390025e-03
-1.574161805555555557e-02,5.912499626276049129e-03
-1.710129166666666395e-02,6.364027567641490635e-03
-1.797962499999999908e-02,6.843072147589385548e-03
-1.802413888888889162e-02,7.345746724055073062e-03
-1.677904166666666780e-02,7.865765416299620033e-03
-1.370834722222222073e-02,8.393963803297840517e-03
-8.268130555555554956e-03,8.917961065506263899e-03
-4.945208333333309315e-05,9.422114381120465579e-03
1.100048611111111019e-02,9.887936861472636230e-03
2.430768055555555460e-02,1.029512247137540255e-02
3.844187499999999341e-02,1.062322005694512142e-02
5.108145833333332941e-02,1.085382146137100177e-02
5.932951388888888650e-02,1.097291747306355578e-02
6.042888888888888616e-02,1.099505067610097309e-02
5.269826388888888824e-02,1.099505067610097309e-02
3.629241666666666727e-02,1.097291747306355578e-02
1.337212013888888600e-02,1.085382146137100177e-02
-1.246955486111110678e-02,1.062322005694512142e-02
-3.728338888888888675e-02,1.029512247137540255e-02
-5.784069444444444458e-02,9.887936861472634495e-03
-7.228319444444446240e-02,9.422114381120465579e-03
-8.020541666666668179e-02,8.917961065506265633e-03
-8.231097222222222287e-02,8.393963803297840517e-03
-7.990715277777778180e-02,7.865765416299620033e-03
-7.445333333333331582e-02,7.345746724055073062e-03
-6.726194444444442977e-02,6.843072147589384681e-03
-5.936145833333335980e-02,6.364027567641488900e-03
-5.146993055555556390e-02,5.912499626276049997e-03
-4.403687499999999616e-02,5.490486842629390025e-03
-3.730423611111109705e-02,5.098575323506280947e-03
-3.137062499999999921e-02,4.736345836246619138e-03
-2.624088194444444341e-02,4.402702105045730452e-03
-2.186756249999999985e-02,4.096123712924322133e-03
-1.850590833333333809e-02,3.841461012960247466e-03
-6.665819444444445567e-03,4.013916032314863644e-03
-7.988430555555557644e-03,4.326508573458301421e-03
-9.524729166666667454e-03,4.669989553750863130e-03
-1.128464583333333576e-02,5.047108985270823932e-03
-1.326122222222221939e-02,5.460505864392090937e-03
-1.541845138888888779e-02,5.912499626276050864e-03
-1.767282638888888549e-02,6.404788078716560848e-03
-1.986829861111111609e-02,6.938027696585143123e-03
-2.174404166666666846e-02,7.511275885722419436e-03
-2.289880555555555419e-02,8.121288330025561511e-03
-2.276063194444444271e-02,8.761694058258450574e-03
-2.058266666666666231e-02,9.422122754918152085e-03
-1.549804861111111522e-02,1.008743548011304357e-02
-6.681756874999998305e-03,1.073730222496017093e-02
6.341143819444445065e-03,1.134644733114296804e-02
2.324375000000000746e-02,1.188589042501389179e-02
4.241479166666665968e-02,1.232537689223646080e-02
6.070215277777777502e-02,1.263687889451653792e-02
7.373229166666669943e-02,1.279860956359041117e-02
7.700326388888889539e-02,1.282873390690835586e-02
6.753527777777776353e-02,1.282873390690835586e-02
4.533118055555555859e-02,1.279860956359041117e-02
1.377205555555555301e-02,1.263687889451653966e-02
-2.141213680555555804e-02,1.232537689223646427e-02
-5.410402777777777866e-02,1.188589042501389179e-02
-7.966222222222223148e-02,1.134644733114296630e-02
-9.587256944444447204e-02,1.073730222496016920e-02
-1.028330555555555803e-01,1.008743548011304010e-02
-1.021745833333333603e-01,9.422122754918152085e-03
-9.615229166666668104e-02,8.761694058258452308e-03
-8.696062499999998585e-02,8.121288330025563246e-03
-7.636930555555554445e-02,7.511275885722419436e-03
-6.562291666666665579e-02,6.938027696585142255e-03
-5.549020833333333930e-02,6.404788078716560848e-03
-4.637423611111109872e-02,5.912499626276049997e-03
-3.842986111111111602e-02,5.460505864392090937e-03
-3.165708333333334262e-02,5.047108985270823932e-03
-2.597083333333333535e-02,4.669989553750862263e-03
-2.124795138888888393e-02,4.326508573458301421e-03
-1.769684166666667113e-02,4.043342538665561925e-03
-6.204611111111109530e-03,4.217037989381481125e-03
-7.612743055555557491e-03,4.563433297334409250e-03
-9.297250000000001693e-03,4.947231743197310835e-03
-1.129318750000000288e-02,5.372495834734904163e-03
-1.362570138888888858e-02,5.843401040523341430e-03
-1.629784722222221705e-02,6.364027567641490635e-03
-1.927002777777777828e-02,6.938027696585144857e-03
-2.242879166666666632e-02,7.568122653661624004e-03
-2.554114583333334104e-02,8.255378334803574469e-03
-2.819513888888889458e-02,8.998215659056202353e-03
-2.972951388888888172e-02,9.791140791062793655e-03
-2.917767361111111776e-02,1.062324938479967083e-02
-2.526690277777777702e-02,1.147668384193126744e-02
-1.655590972222222013e-02,1.232540647144782404e-02
-1.818193055555555231e-03,1.313485934354888945e-02
1.926291666666666083e-02,1.386321210923454825e-02
4.516631944444444990e-02,1.446478319470117894e-02
7.177118055555553600e-02,1.489569687002179933e-02
9.246645833333332065e-02,1.512092625755140883e-02
9.976562500000002442e-02,1.516299820842342654e-02
8.825513888888888991e-02,1.516299820842342654e-02
5.749784722222222449e-02,1.512092625755140883e-02
1.296465347222222272e-02,1.489569687002179933e-02
-3.589428472222221805e-02,1.446478319470117721e-02
-7.937125000000000430e-02,1.386321210923454825e-02
-1.108069444444444440e-01,1.313485934354888598e-02
-1.278958333333333197e-01,1.232540647144782057e-02
-1.319778472222221943e-01,1.147668384193126397e-02
-1.263660416666666786e-01,1.062324938479967257e-02
-1.147773611111111286e-01,9.791140791062793655e-03
-1.003713888888888572e-01,8.998215659056202353e-03
-8.540013888888889348e-02,8.255378334803574469e-03
-7.124194444444446883e-02,7.568122653661623137e-03
-5.860097222222220709e-02,6.938027696585145725e-03
-4.772909722222222484e-02,6.364027567641490635e-03
-3.861229166666665935e-02,5.843401040523341430e-03
-3.109673611111110625e-02,5.372495834734905031e-03
-2.497236111111111184e-02,4.947231743197311703e-03
-2.001888194444444158e-02,4.563433297334409250e-03
-1.637797500000000295e-02,4.249483973684504631e-03
-5.467354166666667237e-03,4.422170949645662028e-03
-6.901881944444444861e-03,4.804614046379896038e-03
-8.668409722222223182e-03,5.231952071048961636e-03
-1.083036111111111005e-02,5.709938542749516677e-03
-1.345224305555555236e-02,6.244800599654340076e-03
-1.658948611111110694e-02,6.843072147589385548e-03
-2.026923611111110246e-02,7.511275885722422906e-03
-2.445677777777777173e-02,8.255378334803576204e-03
-2.899909722222222125e-02,9.079919787492363517e-03
-3.354138888888889142e-02,9.986706216815896542e-03
-3.740743055555554447e-02,1.097296081854091943e-02
