lat,lon,mag,depth
2.471999999999999886e+01,1.206099999999999994e+02,4.200000000000000178e+00,5.000000000000000000e+00
2.363400000000000034e+01,1.210139999999999958e+02,5.299999999999999822e+00,3.860000000000000142e+01
2.361199999999999832e+01,1.205610000000000070e+02,4.099999999999999645e+00,5.000000000000000000e+00
2.414600000000000080e+01,1.217139999999999986e+02,4.200000000000000178e+00,3.300000000000000000e+01
2.398199999999999932e+01,1.210699999999999932e+02,3.899999999999999911e+00,1.699999999999999956e+00
2.366300000000000026e+01,1.208289999999999935e+02,3.700000000000000178e+00,3.300000000000000000e+01
2.363899999999999935e+01,1.202470000000000141e+02,3.899999999999999911e+00,3.300000000000000000e+01
2.352800000000000225e+01,1.218410000000000082e+02,3.500000000000000000e+00,3.300000000000000000e+01
2.389999999999999858e+01,1.213970000000000056e+02,4.099999999999999645e+00,3.200000000000000000e+01
2.383199999999999719e+01,1.213799999999999955e+02,4.000000000000000000e+00,5.000000000000000000e+00
2.462599999999999767e+01,1.208639999999999901e+02,4.599999999999999645e+00,2.500000000000000000e+00
2.373199999999999932e+01,1.209520000000000124e+02,4.299999999999999822e+00,2.739999999999999858e+01
2.384499999999999886e+01,1.211970000000000027e+02,5.299999999999999822e+00,4.639999999999999858e+01
2.380499999999999972e+01,1.211460000000000008e+02,3.600000000000000089e+00,6.779999999999999716e+01
2.335999999999999943e+01,1.213400000000000034e+02,3.799999999999999822e+00,1.500000000000000000e+01
2.445300000000000296e+01,1.208970000000000056e+02,4.400000000000000355e+00,5.000000000000000000e+00
2.348900000000000077e+01,1.216260000000000048e+02,3.100000000000000089e+00,3.300000000000000000e+01
2.354400000000000048e+01,1.207489999999999952e+02,4.000000000000000000e+00,2.769999999999999929e+01
2.403400000000000247e+01,1.211539999999999964e+02,3.700000000000000178e+00,3.300000000000000000e+01
2.378400000000000247e+01,1.214079999999999870e+02,4.299999999999999822e+00,1.300000000000000000e+01
2.387800000000000011e+01,1.213129999999999882e+02,3.799999999999999822e+00,3.489999999999999858e+01
2.351000000000000156e+01,1.208199999999999932e+02,3.899999999999999911e+00,1.200000000000000000e+01
2.431599999999999895e+01,1.210840000000000032e+02,4.200000000000000178e+00,4.560000000000000142e+01
2.414400000000000190e+01,1.212029999999999887e+02,3.799999999999999822e+00,6.709999999999999432e+01
2.384199999999999875e+01,1.211679999999999922e+02,3.899999999999999911e+00,3.000000000000000000e+00
2.358699999999999974e+01,1.208389999999999986e+02,3.899999999999999911e+00,3.689999999999999858e+01
2.394099999999999895e+01,1.207450000000000045e+02,3.600000000000000089e+00,3.300000000000000000e+01
2.414000000000000057e+01,1.212099999999999937e+02,3.500000000000000000e+00,1.169999999999999929e+01
